in s,C1 in V
-2.972704E-03,4.78516E-02
-2.972658E-03,-4.98047E-02
-2.972612E-03,-9.76562E-04
-2.972566E-03,9.66797E-02
-2.972520E-03,9.66797E-02
-2.972474E-03,9.66797E-02
-2.972428E-03,-9.76562E-04
-2.972382E-03,4.78516E-02
-2.972336E-03,4.78516E-02
-2.972290E-03,-4.98047E-02
-2.972244E-03,9.66797E-02
-2.972198E-03,4.78516E-02
-2.972152E-03,-9.76562E-04
-2.972106E-03,4.78516E-02
-2.972060E-03,-9.76562E-04
-2.972014E-03,-9.86328E-02
-2.971968E-03,-9.86328E-02
-2.971922E-03,-4.98047E-02
-2.971876E-03,-9.76562E-04
-2.971830E-03,1.45508E-01
-2.971784E-03,4.78516E-02
-2.971738E-03,9.66797E-02
-2.971692E-03,4.78516E-02
-2.971646E-03,-9.86328E-02
-2.971600E-03,9.66797E-02
-2.971554E-03,1.45508E-01
-2.971508E-03,9.66797E-02
-2.971462E-03,-9.76562E-04
-2.971416E-03,-9.86328E-02
-2.971370E-03,4.78516E-02
-2.971324E-03,4.78516E-02
-2.971278E-03,9.66797E-02
-2.971232E-03,9.66797E-02
-2.971186E-03,-4.98047E-02
-2.971140E-03,-9.86328E-02
-2.971094E-03,1.45508E-01
-2.971048E-03,-4.98047E-02
-2.971002E-03,-9.76562E-04
-2.970956E-03,1.45508E-01
-2.970910E-03,-9.86328E-02
-2.970864E-03,4.78516E-02
-2.970818E-03,9.66797E-02
-2.970772E-03,2.43164E-01
-2.970726E-03,-1.47461E-01
-2.970680E-03,-9.86328E-02
-2.970634E-03,2.43164E-01
-2.970588E-03,4.78516E-02
-2.970542E-03,1.94336E-01
-2.970496E-03,-4.98047E-02
-2.970450E-03,-9.86328E-02
-2.970404E-03,-4.98047E-02
-2.970358E-03,1.45508E-01
-2.970312E-03,-4.98047E-02
-2.970266E-03,-4.98047E-02
-2.970220E-03,4.78516E-02
-2.970174E-03,9.66797E-02
-2.970128E-03,9.66797E-02
